iter	Passed	Remaining
0	1	187
1	3	179
2	5	172
3	6	157
4	9	173
5	10	168
6	12	164
7	13	160
8	15	157
9	17	155
10	18	153
11	20	151
12	22	149
13	24	149
14	26	147
15	27	144
16	29	142
17	30	140
18	32	137
19	33	135
20	35	133
21	37	131
22	39	131
23	40	129
24	42	127
25	44	125
26	45	123
27	47	122
28	49	120
29	50	118
30	52	116
31	54	116
32	56	114
33	58	112
34	59	110
35	61	109
36	63	107
37	64	105
38	66	104
39	68	102
40	70	101
41	70	97
42	72	96
43	74	94
44	75	92
45	77	90
46	79	89
47	80	87
48	82	85
49	84	84
50	86	82
51	87	80
52	89	79
53	91	77
54	92	75
55	93	73
56	95	71
57	96	70
58	98	68
59	100	67
60	102	65
61	103	63
62	105	61
63	107	60
64	109	58
65	110	57
66	112	55
67	114	53
68	116	52
69	118	50
70	119	48
71	121	47
72	122	45
73	124	43
74	126	42
75	127	40
76	129	38
77	131	36
78	133	35
79	134	33
80	136	32
81	138	30
82	139	28
83	141	26
84	142	25
85	144	23
86	146	21
87	148	20
88	149	18
89	151	16
90	153	15
91	154	13
92	156	11
93	157	10
94	160	8
95	161	6
96	163	5
97	165	3
98	166	1
99	168	0
